,sentence1,sentence2,score,label,label_name,emoji_list,shuffled_sentence2,shuffled_emoji_list,num_emojis,is_repeating_emojis
12,big business,[EM]grinning face[EM]man[EM],0.1,2,semineg_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
13,big business,[EM]grinning face[EM]cityscape[EM],0.1,2,semineg_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
14,big business,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
15,big business,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
16,big business,[EM]person in bed medium skin tone[EM]Isle of Man[EM],0.05,3,randneg_text,"[':person_in_bed_medium_skin_tone:', ':Isle_of_Man:']",[EM]Isle of Man[EM]person in bed medium skin tone[EM],"[':Isle_of_Man:', ':person_in_bed_medium_skin_tone:']",2,False
17,big expenditure,[EM]chart increasing[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':chart_increasing:', ':money_with_wings:']",[EM]money with wings[EM]chart increasing[EM],"[':money_with_wings:', ':chart_increasing:']",2,False
18,big expenditure,[EM]shallow pan of food[EM]burrito[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':shallow_pan_of_food:', ':burrito:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",[EM]burrito[EM]shallow pan of food[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],"[':burrito:', ':shallow_pan_of_food:', ':burrito:', ':money-mouth_face:', ':money-mouth_face:', ':money_with_wings:', ':money_with_wings:']",7,False
19,big expenditure,[EM]man technologist[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':man_technologist:', ':money_with_wings:']",[EM]money with wings[EM]man technologist[EM],"[':money_with_wings:', ':man_technologist:']",2,False
20,big expenditure,[EM]money with wings[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':money_with_wings:', ':money_with_wings:']",[EM]money with wings[EM]money with wings[EM],"[':money_with_wings:', ':money_with_wings:']",2,True
21,big expenditure,[EM]money-mouth face[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':money-mouth_face:', ':money_with_wings:']",[EM]money with wings[EM]money-mouth face[EM],"[':money_with_wings:', ':money-mouth_face:']",2,False
22,big expenditure,[EM]chart increasing[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':chart_increasing:', ':money_with_wings:']",[EM]money with wings[EM]chart increasing[EM],"[':money_with_wings:', ':chart_increasing:']",2,False
23,big expenditure,[EM]elephant[EM]dollar banknote[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':elephant:', ':dollar_banknote:', ':money_with_wings:']",[EM]dollar banknote[EM]elephant[EM]money with wings[EM],"[':dollar_banknote:', ':elephant:', ':money_with_wings:']",3,False
24,big expenditure,[EM]money-mouth face[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':money-mouth_face:', ':money_with_wings:']",[EM]money with wings[EM]money-mouth face[EM],"[':money_with_wings:', ':money-mouth_face:']",2,False
25,big expenditure,[EM]grinning face[EM]sad but relieved face[EM],0.5,1,baseline_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
26,big expenditure,[EM]grinning face[EM]person in suit levitating[EM],0.1,2,semineg_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
27,big expenditure,[EM]grinning face[EM]microphone[EM],0.1,2,semineg_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
28,big expenditure,[EM]grinning face[EM]reminder ribbon[EM],0.1,2,semineg_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
29,big expenditure,[EM]grinning face[EM]man[EM],0.1,2,semineg_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
30,big expenditure,[EM]grinning face[EM]cityscape[EM],0.1,2,semineg_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
31,big expenditure,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
32,big expenditure,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
33,big expenditure,[EM]man medium skin tone red hair[EM]mending heart[EM],0.05,3,randneg_text,"[':man_medium_skin_tone_red_hair:', ':mending_heart:']",[EM]mending heart[EM]man medium skin tone red hair[EM],"[':mending_heart:', ':man_medium_skin_tone_red_hair:']",2,False
34,big voice,[EM]loudspeaker[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':loudspeaker:', ':speaking_head:']",[EM]speaking head[EM]loudspeaker[EM],"[':speaking_head:', ':loudspeaker:']",2,False
35,big voice,[EM]loudspeaker[EM]megaphone[EM],1.0,0,emoji_annotations_text,"[':loudspeaker:', ':megaphone:']",[EM]megaphone[EM]loudspeaker[EM],"[':megaphone:', ':loudspeaker:']",2,False
36,big voice,[EM]speaker high volume[EM],1.0,0,emoji_annotations_text,[':speaker_high_volume:'],[EM]speaker high volume[EM],[':speaker_high_volume:'],1,False
37,big voice,[EM]speaking head[EM]loudspeaker[EM],1.0,0,emoji_annotations_text,"[':speaking_head:', ':loudspeaker:']",[EM]loudspeaker[EM]speaking head[EM],"[':loudspeaker:', ':speaking_head:']",2,False
38,big voice,[EM]speaking head[EM]anger symbol[EM],1.0,0,emoji_annotations_text,"[':speaking_head:', ':anger_symbol:']",[EM]anger symbol[EM]speaking head[EM],"[':anger_symbol:', ':speaking_head:']",2,False
39,big voice,[EM]studio microphone[EM]speaking head[EM],1.0,0,emoji_annotations_text,"[':studio_microphone:', ':speaking_head:']",[EM]speaking head[EM]studio microphone[EM],"[':speaking_head:', ':studio_microphone:']",2,False
40,big voice,[EM]face with symbols on mouth[EM]face with symbols on mouth[EM],1.0,0,emoji_annotations_text,"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",[EM]face with symbols on mouth[EM]face with symbols on mouth[EM],"[':face_with_symbols_on_mouth:', ':face_with_symbols_on_mouth:']",2,True
41,big voice,[EM]speaking head[EM]anger symbol[EM],1.0,0,emoji_annotations_text,"[':speaking_head:', ':anger_symbol:']",[EM]anger symbol[EM]speaking head[EM],"[':anger_symbol:', ':speaking_head:']",2,False
42,big voice,[EM]grinning face[EM]microphone[EM],0.5,1,baseline_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
43,big voice,[EM]grinning face[EM]person in suit levitating[EM],0.1,2,semineg_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
44,big voice,[EM]grinning face[EM]sad but relieved face[EM],0.1,2,semineg_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
45,big voice,[EM]grinning face[EM]reminder ribbon[EM],0.1,2,semineg_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
46,big voice,[EM]grinning face[EM]man[EM],0.1,2,semineg_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
47,big voice,[EM]grinning face[EM]cityscape[EM],0.1,2,semineg_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
48,big voice,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
49,big voice,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
50,big voice,[EM]person in suit levitating light skin tone[EM]Chad[EM],0.05,3,randneg_text,"[':person_in_suit_levitating_light_skin_tone:', ':Chad:']",[EM]Chad[EM]person in suit levitating light skin tone[EM],"[':Chad:', ':person_in_suit_levitating_light_skin_tone:']",2,False
51,big group,[EM]people holding hands[EM]woman and man holding hands[EM]women holding hands[EM]men holding hands[EM],1.0,0,emoji_annotations_text,"[':people_holding_hands:', ':woman_and_man_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",[EM]woman and man holding hands[EM]people holding hands[EM]women holding hands[EM]men holding hands[EM],"[':woman_and_man_holding_hands:', ':people_holding_hands:', ':women_holding_hands:', ':men_holding_hands:']",4,False
52,big group,[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM],1.0,0,emoji_annotations_text,"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']",[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM]family man boy[EM],"[':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:', ':family_man_boy:']",7,True
53,big group,[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM],1.0,0,emoji_annotations_text,"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM]men holding hands[EM],"[':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:', ':men_holding_hands:']",11,True
54,big group,[EM]busts in silhouette[EM]busts in silhouette[EM]busts in silhouette[EM],1.0,0,emoji_annotations_text,"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",[EM]busts in silhouette[EM]busts in silhouette[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':busts_in_silhouette:', ':busts_in_silhouette:']",3,True
55,big group,[EM]woman and man holding hands[EM]women holding hands[EM]family man man girl girl[EM]men holding hands[EM]family man man girl[EM],1.0,0,emoji_annotations_text,"[':woman_and_man_holding_hands:', ':women_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']",[EM]women holding hands[EM]woman and man holding hands[EM]family man man girl girl[EM]men holding hands[EM]family man man girl[EM],"[':women_holding_hands:', ':woman_and_man_holding_hands:', ':family_man_man_girl_girl:', ':men_holding_hands:', ':family_man_man_girl:']",5,False
56,big group,[EM]busts in silhouette[EM]busts in silhouette[EM],1.0,0,emoji_annotations_text,"[':busts_in_silhouette:', ':busts_in_silhouette:']",[EM]busts in silhouette[EM]busts in silhouette[EM],"[':busts_in_silhouette:', ':busts_in_silhouette:']",2,True
57,big group,[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM],1.0,0,emoji_annotations_text,"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']",[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM]family woman woman boy boy[EM],"[':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:', ':family_woman_woman_boy_boy:']",5,True
58,big group,[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],1.0,0,emoji_annotations_text,"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",[EM]people holding hands[EM]people holding hands[EM]people holding hands[EM],"[':people_holding_hands:', ':people_holding_hands:', ':people_holding_hands:']",3,True
59,big group,[EM]grinning face[EM]reminder ribbon[EM],0.5,1,baseline_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
60,big group,[EM]grinning face[EM]person in suit levitating[EM],0.1,2,semineg_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
61,big group,[EM]grinning face[EM]sad but relieved face[EM],0.1,2,semineg_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
62,big group,[EM]grinning face[EM]microphone[EM],0.1,2,semineg_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
63,big group,[EM]grinning face[EM]man[EM],0.1,2,semineg_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
64,big group,[EM]grinning face[EM]cityscape[EM],0.1,2,semineg_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
65,big group,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
66,big group,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
67,big group,[EM]diving mask[EM]man vampire medium-dark skin tone[EM],0.05,3,randneg_text,"[':diving_mask:', ':man_vampire_medium-dark_skin_tone:']",[EM]man vampire medium-dark skin tone[EM]diving mask[EM],"[':man_vampire_medium-dark_skin_tone:', ':diving_mask:']",2,False
68,big man,[EM]man beard[EM]astonished face[EM]up arrow[EM],1.0,0,emoji_annotations_text,"[':man_beard:', ':astonished_face:', ':up_arrow:']",[EM]astonished face[EM]man beard[EM]up arrow[EM],"[':astonished_face:', ':man_beard:', ':up_arrow:']",3,False
69,big man,[EM]Santa Claus[EM],1.0,0,emoji_annotations_text,[':Santa_Claus:'],[EM]Santa Claus[EM],[':Santa_Claus:'],1,False
70,big man,[EM]person curly hair[EM],1.0,0,emoji_annotations_text,[':person_curly_hair:'],[EM]person curly hair[EM],[':person_curly_hair:'],1,False
71,big man,[EM]man standing[EM]flexed biceps[EM],1.0,0,emoji_annotations_text,"[':man_standing:', ':flexed_biceps:']",[EM]flexed biceps[EM]man standing[EM],"[':flexed_biceps:', ':man_standing:']",2,False
72,big man,[EM]flexed biceps[EM]man beard[EM],1.0,0,emoji_annotations_text,"[':flexed_biceps:', ':man_beard:']",[EM]man beard[EM]flexed biceps[EM],"[':man_beard:', ':flexed_biceps:']",2,False
73,big man,[EM]man blond hair[EM]left-right arrow[EM]up-down arrow[EM],1.0,0,emoji_annotations_text,"[':man_blond_hair:', ':left-right_arrow:', ':up-down_arrow:']",[EM]left-right arrow[EM]man blond hair[EM]up-down arrow[EM],"[':left-right_arrow:', ':man_blond_hair:', ':up-down_arrow:']",3,False
74,big man,[EM]superhero[EM]man superhero[EM],1.0,0,emoji_annotations_text,"[':superhero:', ':man_superhero:']",[EM]man superhero[EM]superhero[EM],"[':man_superhero:', ':superhero:']",2,False
75,big man,[EM]flexed biceps[EM]man standing[EM],1.0,0,emoji_annotations_text,"[':flexed_biceps:', ':man_standing:']",[EM]man standing[EM]flexed biceps[EM],"[':man_standing:', ':flexed_biceps:']",2,False
76,big man,[EM]grinning face[EM]man[EM],0.5,1,baseline_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
77,big man,[EM]grinning face[EM]person in suit levitating[EM],0.1,2,semineg_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
78,big man,[EM]grinning face[EM]sad but relieved face[EM],0.1,2,semineg_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
79,big man,[EM]grinning face[EM]microphone[EM],0.1,2,semineg_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
80,big man,[EM]grinning face[EM]reminder ribbon[EM],0.1,2,semineg_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
81,big man,[EM]grinning face[EM]cityscape[EM],0.1,2,semineg_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
82,big man,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
83,big man,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
84,big man,[EM]woman in tuxedo[EM]mirror[EM],0.05,3,randneg_text,"[':woman_in_tuxedo:', ':mirror:']",[EM]mirror[EM]woman in tuxedo[EM],"[':mirror:', ':woman_in_tuxedo:']",2,False
85,big city,[EM]sunset[EM]red exclamation mark[EM],1.0,0,emoji_annotations_text,"[':sunset:', ':red_exclamation_mark:']",[EM]red exclamation mark[EM]sunset[EM],"[':red_exclamation_mark:', ':sunset:']",2,False
86,big city,[EM]sunset[EM]foggy[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],1.0,0,emoji_annotations_text,"[':sunset:', ':foggy:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",[EM]foggy[EM]sunset[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],"[':foggy:', ':sunset:', ':cityscape_at_dusk:', ':cityscape:', ':night_with_stars:', ':Statue_of_Liberty:']",6,False
87,big city,[EM]Russia[EM],1.0,0,emoji_annotations_text,[':Russia:'],[EM]Russia[EM],[':Russia:'],1,False
88,big city,[EM]cityscape[EM],1.0,0,emoji_annotations_text,[':cityscape:'],[EM]cityscape[EM],[':cityscape:'],1,False
89,big city,[EM]cityscape at dusk[EM]exploding head[EM],1.0,0,emoji_annotations_text,"[':cityscape_at_dusk:', ':exploding_head:']",[EM]exploding head[EM]cityscape at dusk[EM],"[':exploding_head:', ':cityscape_at_dusk:']",2,False
90,big city,[EM]cityscape[EM]up-down arrow[EM]left-right arrow[EM],1.0,0,emoji_annotations_text,"[':cityscape:', ':up-down_arrow:', ':left-right_arrow:']",[EM]up-down arrow[EM]cityscape[EM]left-right arrow[EM],"[':up-down_arrow:', ':cityscape:', ':left-right_arrow:']",3,False
91,big city,[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM],1.0,0,emoji_annotations_text,"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']",[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM]night with stars[EM],"[':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:', ':night_with_stars:']",5,True
92,big city,[EM]sunset[EM]cityscape[EM],1.0,0,emoji_annotations_text,"[':sunset:', ':cityscape:']",[EM]cityscape[EM]sunset[EM],"[':cityscape:', ':sunset:']",2,False
93,big city,[EM]grinning face[EM]cityscape[EM],0.5,1,baseline_text,"[':grinning_face:', ':cityscape:']",[EM]cityscape[EM]grinning face[EM],"[':cityscape:', ':grinning_face:']",2,False
94,big city,[EM]grinning face[EM]person in suit levitating[EM],0.1,2,semineg_text,"[':grinning_face:', ':person_in_suit_levitating:']",[EM]person in suit levitating[EM]grinning face[EM],"[':person_in_suit_levitating:', ':grinning_face:']",2,False
95,big city,[EM]grinning face[EM]sad but relieved face[EM],0.1,2,semineg_text,"[':grinning_face:', ':sad_but_relieved_face:']",[EM]sad but relieved face[EM]grinning face[EM],"[':sad_but_relieved_face:', ':grinning_face:']",2,False
96,big city,[EM]grinning face[EM]microphone[EM],0.1,2,semineg_text,"[':grinning_face:', ':microphone:']",[EM]microphone[EM]grinning face[EM],"[':microphone:', ':grinning_face:']",2,False
97,big city,[EM]grinning face[EM]reminder ribbon[EM],0.1,2,semineg_text,"[':grinning_face:', ':reminder_ribbon:']",[EM]reminder ribbon[EM]grinning face[EM],"[':reminder_ribbon:', ':grinning_face:']",2,False
98,big city,[EM]grinning face[EM]man[EM],0.1,2,semineg_text,"[':grinning_face:', ':man:']",[EM]man[EM]grinning face[EM],"[':man:', ':grinning_face:']",2,False
99,big city,[EM]grinning face[EM],0.1,2,semineg_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
100,big city,[EM]grinning face[EM]bouquet[EM],0.1,2,semineg_text,"[':grinning_face:', ':bouquet:']",[EM]bouquet[EM]grinning face[EM],"[':bouquet:', ':grinning_face:']",2,False
101,big city,[EM]woman mage medium skin tone[EM]hand with fingers splayed[EM],0.05,3,randneg_text,"[':woman_mage_medium_skin_tone:', ':hand_with_fingers_splayed:']",[EM]hand with fingers splayed[EM]woman mage medium skin tone[EM],"[':hand_with_fingers_splayed:', ':woman_mage_medium_skin_tone:']",2,False
102,big tipper,[EM]man beard[EM]money bag[EM],1.0,0,emoji_annotations_text,"[':man_beard:', ':money_bag:']",[EM]money bag[EM]man beard[EM],"[':money_bag:', ':man_beard:']",2,False
103,big tipper,[EM]pancakes[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':pancakes:', ':money_with_wings:']",[EM]money with wings[EM]pancakes[EM],"[':money_with_wings:', ':pancakes:']",2,False
104,big tipper,[EM]yen banknote[EM]yen banknote[EM]man getting massage[EM]man getting haircut[EM],1.0,0,emoji_annotations_text,"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']",[EM]yen banknote[EM]yen banknote[EM]man getting massage[EM]man getting haircut[EM],"[':yen_banknote:', ':yen_banknote:', ':man_getting_massage:', ':man_getting_haircut:']",4,False
105,big tipper,[EM]coin[EM]coin[EM],1.0,0,emoji_annotations_text,"[':coin:', ':coin:']",[EM]coin[EM]coin[EM],"[':coin:', ':coin:']",2,True
106,big tipper,[EM]money-mouth face[EM]man red hair[EM]money bag[EM],1.0,0,emoji_annotations_text,"[':money-mouth_face:', ':man_red_hair:', ':money_bag:']",[EM]man red hair[EM]money-mouth face[EM]money bag[EM],"[':man_red_hair:', ':money-mouth_face:', ':money_bag:']",3,False
107,big tipper,[EM]dollar banknote[EM]dollar banknote[EM],1.0,0,emoji_annotations_text,"[':dollar_banknote:', ':dollar_banknote:']",[EM]dollar banknote[EM]dollar banknote[EM],"[':dollar_banknote:', ':dollar_banknote:']",2,True
108,big tipper,[EM]money with wings[EM]money with wings[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",[EM]money with wings[EM]money with wings[EM]money with wings[EM],"[':money_with_wings:', ':money_with_wings:', ':money_with_wings:']",3,True
109,big tipper,[EM]thumbs up[EM]money with wings[EM],1.0,0,emoji_annotations_text,"[':thumbs_up:', ':money_with_wings:']",[EM]money with wings[EM]thumbs up[EM],"[':money_with_wings:', ':thumbs_up:']",2,False
110,big tipper,[EM]grinning face[EM],0.5,1,baseline_text,[':grinning_face:'],[EM]grinning face[EM],[':grinning_face:'],1,False
