,query,relevant_doc,relevant_score,set_name
20,ample waistline,[EM]dress[EM]pinched fingers light skin tone[EM],0.8604943752288818,baseline
21,ample waistline,[EM]bank[EM]money with wings[EM]dollar banknote[EM]coin[EM]money bag[EM]chart increasing with yen[EM]ATM sign[EM]heavy dollar sign[EM]credit card[EM]money-mouth face[EM],0.9826169610023499,baseline
22,ample waistline,[EM]shorts[EM]woman gesturing OK light skin tone[EM],0.2868708074092865,baseline
23,ample waistline,[EM]pregnant woman[EM]open hands[EM],0.7630797028541565,baseline
24,average merit,[EM]OK hand[EM]memo[EM],0.3025640845298767,baseline
25,average merit,[EM]trophy[EM]trophy[EM]woman gesturing OK[EM],0.9969272613525391,train
26,average merit,[EM]hundred points[EM]neutral face[EM],0.48614874482154846,baseline
27,average merit,[EM]briefcase[EM]neutral face[EM]3rd place medal[EM],0.9965782165527344,baseline
28,average merit,[EM]person gesturing OK[EM]man gesturing OK[EM],0.8197717666625977,baseline
29,average merit,[EM]person shrugging[EM]sports medal[EM],0.8440328240394592,baseline
30,average merit,[EM]trophy[EM]unamused face[EM],0.35748982429504395,baseline
31,average people,[EM]child[EM]girl[EM]boy[EM],0.9971088171005249,baseline
32,average people,[EM]women holding hands[EM]people holding hands[EM]men holding hands[EM]woman gesturing OK[EM],0.9963058233261108,baseline
33,average people,[EM]man[EM]confused face[EM],0.8241201639175415,baseline
34,average people,[EM]person[EM]man[EM]woman[EM]girl[EM],0.9973026514053345,baseline
35,average people,[EM]woman standing[EM]man standing[EM]person standing[EM],0.6070282459259033,baseline
36,average people,[EM]woman pouting[EM]man pouting[EM],0.17900513112545013,baseline
37,average people,[EM]person[EM]man[EM]person shrugging[EM],0.7596306204795837,baseline
38,average people,[EM]people wrestling[EM]OK button[EM],0.11556953191757202,baseline
39,average size,[EM]thumbs up[EM]t-shirt[EM]thumbs down[EM],0.26599058508872986,baseline
40,average size,[EM]palms up together[EM]face with raised eyebrow[EM],0.5245996117591858,baseline
41,average size,[EM]black large square[EM]cross mark[EM]cross mark[EM]black small square[EM],0.29758313298225403,baseline
42,average size,[EM]balance scale[EM]wavy dash[EM],0.9586209058761597,baseline
43,average size,[EM]person standing[EM]man standing[EM],0.7240891456604004,baseline
44,average size,[EM]straight ruler[EM]person shrugging[EM],0.3102882206439972,baseline
45,average size,[EM]clutch bag[EM]slightly frowning face[EM],0.07411755621433258,baseline
46,big business,[EM]chart increasing[EM]necktie[EM],0.967512845993042,baseline
47,big business,[EM]money-mouth face[EM]office building[EM]money-mouth face[EM],0.9811721444129944,baseline
48,big business,[EM]handshake[EM]man technologist[EM],0.9917876124382019,baseline
49,big business,[EM]people holding hands[EM]office building[EM]people holding hands[EM]people holding hands[EM],0.9879187345504761,baseline
50,big business,[EM]money-mouth face[EM]woman technologist[EM],0.8422771096229553,baseline
51,big business,[EM]chart increasing[EM]money bag[EM],0.84694504737854,baseline
52,big business,[EM]office building[EM]office building[EM]office building[EM]bar chart[EM]globe showing Europe-Africa[EM],0.9967901706695557,train
53,big business,[EM]tear-off calendar[EM]handshake[EM],0.9948916435241699,baseline
54,big business,[EM]person in suit levitating[EM]grinning face[EM],0.4862307608127594,baseline
55,big city,[EM]red exclamation mark[EM]sunset[EM],0.5981942415237427,baseline
56,big city,[EM]foggy[EM]sunset[EM]cityscape at dusk[EM]cityscape[EM]night with stars[EM]Statue of Liberty[EM],0.9975647330284119,baseline
57,big city,[EM]exploding head[EM]cityscape at dusk[EM],0.9365788102149963,baseline
58,big city,[EM]up-down arrow[EM]cityscape[EM]left-right arrow[EM],0.9654869437217712,baseline
59,big city,[EM]cityscape[EM]sunset[EM],0.9974810481071472,baseline
60,big city,[EM]cityscape[EM]grinning face[EM],0.744665801525116,baseline
61,big day,[EM]tear-off calendar[EM]red exclamation mark[EM],0.9855706691741943,baseline
62,big day,[EM]wedding[EM]person with veil[EM]man in tuxedo[EM],0.9343796372413635,baseline
63,big day,[EM]person with veil[EM]couple with heart woman man[EM],0.9888428449630737,baseline
64,big day,[EM]sun[EM]anxious face with sweat[EM],0.36949068307876587,baseline
65,big day,[EM]woman with veil[EM]man with veil[EM]man in tuxedo[EM]woman in tuxedo[EM],0.9941460490226746,baseline
66,big day,[EM]sun[EM]1st place medal[EM],0.2811400890350342,baseline
67,big day,[EM]bouquet[EM]grinning face[EM],0.06503188610076904,baseline
68,big expenditure,[EM]money with wings[EM]chart increasing[EM],0.9317662715911865,baseline
69,big expenditure,[EM]burrito[EM]shallow pan of food[EM]burrito[EM]money-mouth face[EM]money-mouth face[EM]money with wings[EM]money with wings[EM],0.5297035574913025,baseline
70,big expenditure,[EM]money with wings[EM]man technologist[EM],0.9942260384559631,baseline
71,big expenditure,[EM]money with wings[EM]money-mouth face[EM],0.9696736335754395,baseline
72,big expenditure,[EM]dollar banknote[EM]elephant[EM]money with wings[EM],0.6855722665786743,baseline
73,big expenditure,[EM]sad but relieved face[EM]grinning face[EM],0.006985476706176996,baseline
74,big group,[EM]woman and man holding hands[EM]people holding hands[EM]women holding hands[EM]men holding hands[EM],0.9938374757766724,baseline
75,big group,[EM]women holding hands[EM]woman and man holding hands[EM]family man man girl girl[EM]men holding hands[EM]family man man girl[EM],0.9763248562812805,baseline
76,big group,[EM]reminder ribbon[EM]grinning face[EM],0.04222046956419945,baseline
77,big man,[EM]astonished face[EM]man beard[EM]up arrow[EM],0.9389244318008423,baseline
78,big man,[EM]flexed biceps[EM]man standing[EM],0.9964848756790161,train
79,big man,[EM]man beard[EM]flexed biceps[EM],0.937568724155426,baseline
80,big man,[EM]left-right arrow[EM]man blond hair[EM]up-down arrow[EM],0.4155804514884949,baseline
81,big man,[EM]man superhero[EM]superhero[EM],0.6111643314361572,baseline
82,big man,[EM]man standing[EM]flexed biceps[EM],0.9915295839309692,validate
83,big man,[EM]man[EM]grinning face[EM],0.5032216906547546,baseline
84,big tipper,[EM]money bag[EM]man beard[EM],0.9598976373672485,baseline
85,big tipper,[EM]money with wings[EM]pancakes[EM],0.41681280732154846,baseline
86,big tipper,[EM]yen banknote[EM]yen banknote[EM]man getting massage[EM]man getting haircut[EM],0.9609171748161316,validate
87,big tipper,[EM]man red hair[EM]money-mouth face[EM]money bag[EM],0.9918406009674072,baseline
88,big tipper,[EM]money with wings[EM]thumbs up[EM],0.6285170912742615,baseline
89,big voice,[EM]speaking head[EM]loudspeaker[EM],0.8360960483551025,validate
90,big voice,[EM]megaphone[EM]loudspeaker[EM],0.5189828872680664,baseline
91,big voice,[EM]loudspeaker[EM]speaking head[EM],0.42331498861312866,validate
92,big voice,[EM]anger symbol[EM]speaking head[EM],0.4875088334083557,baseline
93,big voice,[EM]speaking head[EM]studio microphone[EM],0.6056025624275208,baseline
94,big voice,[EM]microphone[EM]grinning face[EM],0.42224326729774475,baseline
95,bright dress,[EM]dress[EM]sparkler[EM],0.9937117099761963,baseline
96,bright dress,[EM]dress[EM]bright button[EM],0.9036844372749329,baseline
97,bright dress,[EM]dress[EM]sparkles[EM],0.979263961315155,test
98,bright dress,[EM]dress[EM]bright button[EM]woman dancing[EM],0.9920556545257568,baseline
99,bright dress,[EM]artist palette[EM]sun[EM]dress[EM],0.9876298308372498,baseline
100,bright dress,[EM]sparkles[EM]dress[EM],0.9959230422973633,test
101,bright dress,[EM]dress[EM]sun[EM],0.9245035648345947,baseline
102,bright future,[EM]crystal ball[EM]sparkler[EM],0.989439845085144,baseline
103,bright future,[EM]crystal ball[EM]bright button[EM],0.8932395577430725,baseline
104,bright future,[EM]graduation cap[EM]glowing star[EM],0.6356804966926575,baseline
105,bright future,[EM]man scientist[EM]smiling face with sunglasses[EM]woman health worker[EM]technologist[EM],0.9800534248352051,baseline
106,bright future,[EM]crystal ball[EM]sun[EM],0.9517038464546204,baseline
107,bright future,[EM]woman student[EM]man scientist[EM]man health worker[EM],0.7047393321990967,baseline
108,bright future,[EM]fog[EM]sun[EM],0.17890706658363342,baseline
109,bright future,[EM]fast-forward button[EM]hourglass not done[EM]thumbs up[EM]thumbs up[EM],0.9900788068771362,baseline
110,bright room,[EM]school[EM]sparkler[EM],0.9355261325836182,baseline
111,bright room,[EM]men’s room[EM]bright button[EM]women’s room[EM],0.921416699886322,baseline
112,bright room,[EM]house[EM]sparkles[EM],0.44709157943725586,baseline
113,bright room,[EM]candle[EM]light bulb[EM]house[EM],0.9449647665023804,baseline
114,bright room,[EM]school[EM]sun[EM],0.902309000492096,baseline
115,bright room,[EM]wedding[EM]light bulb[EM],0.6563887596130371,baseline
116,bright room,[EM]women’s room[EM]bright button[EM],0.5794398784637451,baseline
117,bright sun,[EM]sun[EM]sparkler[EM],0.9750513434410095,baseline
118,bright sun,[EM]sun[EM]bright button[EM],0.9977813959121704,train
119,bright sun,[EM]sun behind small cloud[EM]glowing star[EM]sunset[EM]sunrise[EM],0.9630653262138367,baseline
120,bright sun,[EM]bright button[EM]sun[EM],0.9209988713264465,train
121,bright sun,[EM]sun[EM]sparkles[EM],0.9844222068786621,baseline
122,bright sun,[EM]glowing star[EM]sun[EM],0.9816293716430664,baseline
123,clear air,[EM]wind face[EM]mountain[EM],0.5663574934005737,baseline
124,clear air,[EM]dashing away[EM]dashing away[EM]sparkles[EM],0.8736166954040527,validate
125,clear air,[EM]cross mark[EM]leaf fluttering in wind[EM]cigarette[EM]broom[EM],0.13498181104660034,baseline
126,clear air,[EM]leaf fluttering in wind[EM]wind face[EM]thumbs up[EM],0.9849069118499756,baseline
127,clear air,[EM]sparkles[EM]dashing away[EM]cross mark[EM]microbe[EM],0.978205680847168,baseline
128,clear air,[EM]wind face[EM]thumbs up light skin tone[EM],0.9827564358711243,baseline
129,clear air,[EM]helicopter[EM]rainbow[EM],0.42061781883239746,baseline
130,clear case,[EM]briefcase[EM]magnifying glass tilted right[EM],0.9213665127754211,baseline
131,clear case,[EM]briefcase[EM]check mark[EM],0.9549379944801331,baseline
132,clear case,[EM]speaking head[EM]eyes[EM],0.35091108083724976,baseline
133,clear case,[EM]briefcase[EM]window[EM],0.9688345193862915,baseline
134,clear case,[EM]microscope[EM]detective[EM]kitchen knife[EM]drop of blood[EM]light bulb[EM],0.9835900068283081,baseline
135,clear case,[EM]computer disk[EM]rainbow[EM],0.38840803503990173,baseline
136,clear complexion,[EM]woman light skin tone[EM]magnifying glass tilted right[EM],0.9900689125061035,baseline
137,clear complexion,[EM]sparkles[EM]woman[EM],0.8639474511146545,baseline
138,clear complexion,[EM]sparkles[EM]relieved face[EM]sparkles[EM],0.6606207489967346,baseline
139,clear complexion,[EM]OK hand[EM]woman getting massage[EM],0.9235981106758118,baseline
140,clear complexion,[EM]potable water[EM]man[EM]green salad[EM]mirror[EM]sparkles[EM],0.5030460953712463,baseline
141,clear complexion,[EM]lotion bottle[EM]smiling face with heart-eyes[EM],0.9686555862426758,baseline
142,clear complexion,[EM]artist palette[EM]rainbow[EM],0.19546964764595032,baseline
143,clear explanation,[EM]speaking head[EM]magnifying glass tilted right[EM],0.9730300903320312,baseline
144,clear explanation,[EM]speaking head[EM]check mark[EM],0.7535957098007202,baseline
145,clear explanation,[EM]astonished face[EM]speech balloon[EM]OK button[EM],0.9205098748207092,baseline
146,clear explanation,[EM]hundred points[EM]woman teacher[EM]speaking head[EM],0.9955246448516846,baseline
147,clear explanation,[EM]light bulb[EM]speaking head[EM],0.9772120714187622,baseline
148,clear explanation,[EM]white question mark[EM]thinking face[EM]man teacher[EM]speaking head[EM]light bulb[EM]check mark button[EM]grinning face[EM],0.9912928342819214,baseline
149,clear explanation,[EM]speaking head[EM]thumbs up light skin tone[EM],0.9791103601455688,baseline
150,clear explanation,[EM]thought balloon[EM]rainbow[EM],0.2770061194896698,baseline
151,clear glass,[EM]glass of milk[EM]magnifying glass tilted right[EM],0.9867631793022156,baseline
152,clear glass,[EM]glass of milk[EM]check mark[EM],0.6944617629051208,baseline
153,clear glass,[EM]sparkles[EM]tumbler glass[EM],0.9888800978660583,baseline
154,clear glass,[EM]tumbler glass[EM]glasses[EM],0.9982877969741821,baseline
155,clear glass,[EM]magnifying glass tilted left[EM]glasses[EM]sparkles[EM]sparkles[EM],0.99320387840271,baseline
156,clear glass,[EM]magnifying glass tilted right[EM]tumbler glass[EM],0.9958411455154419,baseline
157,clear glass,[EM]glass of milk[EM]rainbow[EM],0.4665939509868622,baseline
158,clear idea,[EM]light bulb[EM]magnifying glass tilted right[EM],0.8915876746177673,baseline
159,clear idea,[EM]light bulb[EM]check mark[EM],0.6706035733222961,baseline
160,clear idea,[EM]astonished face[EM]brain[EM]OK button[EM],0.9934701323509216,baseline
161,clear idea,[EM]light bulb[EM]window[EM],0.9611881971359253,baseline
162,clear idea,[EM]thought balloon[EM]thinking face[EM]light bulb[EM]check mark button[EM],0.6750281453132629,baseline
163,clear idea,[EM]thumbs up light skin tone[EM]bookmark tabs[EM],0.9526816606521606,baseline
164,clear idea,[EM]light bulb[EM]rainbow[EM],0.13295115530490875,baseline
165,clear indication,[EM]backhand index pointing right[EM]magnifying glass tilted right[EM],0.6997260451316833,baseline
166,clear indication,[EM]astonished face[EM]astonished face[EM]OK button[EM],0.99488765001297,train
167,clear indication,[EM]glasses[EM]crystal ball[EM],0.4578307867050171,baseline
168,clear indication,[EM]writing hand[EM]check mark[EM],0.7697586417198181,baseline
169,clear indication,[EM]check mark[EM]speech balloon[EM]cross mark[EM]red question mark[EM],0.18272513151168823,baseline
170,clear indication,[EM]thumbs up light skin tone[EM]speaking head[EM],0.9545046091079712,baseline
171,clear indication,[EM]FREE button[EM]rainbow[EM],0.09418132901191711,baseline
172,clear water,[EM]sweat droplets[EM]magnifying glass tilted right[EM],0.9725867509841919,baseline
173,clear water,[EM]droplet[EM]check mark[EM],0.9811524152755737,baseline
174,clear water,[EM]droplet[EM]droplet[EM]sparkles[EM],0.9931182265281677,train
175,clear water,[EM]sweat droplets[EM]thumbs up[EM]droplet[EM],0.9936434626579285,baseline
176,clear water,[EM]droplet[EM]droplet[EM]microscope[EM]sparkles[EM]cross mark[EM]microbe[EM],0.9931421875953674,train
177,clear water,[EM]white circle[EM]droplet[EM],0.9145054817199707,baseline
178,clear water,[EM]water buffalo[EM]rainbow[EM],0.42002686858177185,baseline
179,clear-cut evidence,[EM]bookmark tabs[EM]magnifying glass tilted right[EM],0.93414705991745,baseline
180,clear-cut evidence,[EM]page with curl[EM]check mark[EM],0.9843862056732178,baseline
181,clear-cut evidence,[EM]face with open mouth[EM]antenna bars[EM]sparkles[EM]thumbs up[EM],0.9892392754554749,baseline
182,clear-cut evidence,[EM]man detective[EM]magnifying glass tilted left[EM]party popper[EM],0.995035707950592,baseline
183,clear-cut evidence,[EM]scissors[EM]detective[EM]scroll[EM],0.8611949682235718,baseline
184,clear-cut evidence,[EM]red question mark[EM]kitchen knife[EM]microscope[EM]light bulb[EM]check mark[EM],0.8889015316963196,baseline
185,clear-cut evidence,[EM]magnifying glass tilted right[EM]scroll[EM],0.9864954352378845,baseline
186,clear-cut evidence,[EM]detective[EM]rainbow[EM],0.42745810747146606,baseline
187,common brand,[EM]clutch bag[EM]glasses[EM]dress[EM]necktie[EM]copyright[EM],0.9950016140937805,baseline
188,common brand,[EM]woman tipping hand light skin tone[EM]busts in silhouette[EM]handbag[EM],0.98463374376297,baseline
189,common brand,[EM]shopping cart[EM]play button[EM]purse[EM],0.9957424402236938,baseline
190,common brand,[EM]mobile phone[EM]palms up together[EM],0.9269476532936096,baseline
191,common brand,[EM]down-left arrow[EM]down-right arrow[EM],0.99555903673172,baseline
192,common brand,[EM]luggage[EM]busts in silhouette[EM]purse[EM]briefcase[EM]backpack[EM]handbag[EM]busts in silhouette[EM],0.9965351223945618,baseline
193,common brand,[EM]shopping bags[EM]shopping bags[EM]counterclockwise arrows button[EM],0.9968427419662476,train
194,common brand,[EM]video game[EM]face with thermometer[EM],0.41103196144104004,baseline
195,common housefly,[EM]neutral face[EM]fly[EM],0.989207923412323,baseline
196,common housefly,[EM]fly[EM]busts in silhouette[EM],0.9721499085426331,baseline
197,common housefly,[EM]houses[EM]houses[EM]houses[EM]fly[EM]fly[EM]fly[EM]fly[EM]fly[EM],0.9467963576316833,test
198,common housefly,[EM]fly[EM]palms up together[EM],0.9772669076919556,baseline
199,common housefly,[EM]busts in silhouette[EM]busts in silhouette[EM]fly[EM],0.9824591279029846,validate
200,common housefly,[EM]fly[EM]house[EM],-0.07148289680480957,baseline
201,common housefly,[EM]dove[EM]face with thermometer[EM],0.14629502594470978,baseline
202,common knowledge,[EM]brain[EM]face with monocle[EM],0.785812497138977,baseline
203,common knowledge,[EM]thinking face[EM]brain[EM]unamused face[EM],0.20623020827770233,baseline
204,common knowledge,[EM]books[EM]busts in silhouette[EM],0.9709057211875916,baseline
205,common knowledge,[EM]brain[EM]play button[EM],0.7561744451522827,baseline
206,common knowledge,[EM]brain[EM]palms up together[EM],0.9833595752716064,baseline
207,common knowledge,[EM]woman and man holding hands[EM]disguised face[EM]palms up together[EM],0.9704011678695679,baseline
208,common knowledge,[EM]books[EM]busts in silhouette[EM]open book[EM]busts in silhouette[EM],0.9847304224967957,baseline
209,common knowledge,[EM]brain[EM]brain[EM]globe showing Americas[EM],0.9890225529670715,train
210,common knowledge,[EM]person shrugging[EM]face with thermometer[EM],0.20010732114315033,baseline
211,common land,[EM]cityscape[EM]cityscape at dusk[EM]bridge at night[EM]desert island[EM],0.9851545095443726,baseline
212,common land,[EM]mountain[EM]busts in silhouette[EM],0.9709708094596863,baseline
213,common land,[EM]brick[EM]play button[EM],0.18347595632076263,baseline
214,common land,[EM]cityscape at dusk[EM]palms up together[EM],0.9788388609886169,baseline
215,common land,[EM]desert island[EM]handshake[EM],0.38791424036026,baseline
216,common land,[EM]desert island[EM]busts in silhouette[EM]raising hands[EM]busts in silhouette[EM],0.743061900138855,baseline
217,common land,[EM]Åland Islands[EM]globe showing Americas[EM]British Indian Ocean Territory[EM]British Virgin Islands[EM]Caribbean Netherlands[EM]Caribbean Netherlands[EM]Cayman Islands[EM],0.2920983135700226,baseline
218,common land,[EM]tractor[EM]face with thermometer[EM],0.3266685903072357,baseline
219,common man,[EM]person standing[EM]person standing[EM]person shrugging[EM],0.9968246221542358,train
220,common man,[EM]man standing[EM]busts in silhouette[EM],0.9551447629928589,baseline
221,common man,[EM]boy[EM]play button[EM]boy[EM]boy[EM],0.996139407157898,baseline
222,common man,[EM]man[EM]palms up together[EM],0.8902996182441711,baseline
223,common man,[EM]person curly hair[EM]man[EM]man curly hair[EM],0.1943519115447998,baseline
224,common man,[EM]man[EM]face with thermometer[EM],0.3566132187843323,baseline
225,common nuisance,[EM]weary face[EM]busts in silhouette[EM],0.5070812702178955,baseline
226,common nuisance,[EM]face with head-bandage[EM]face with thermometer[EM],0.371831476688385,baseline
227,common nuisance,[EM]man gesturing NO[EM]palms up together[EM],0.7703139781951904,baseline
228,common nuisance,[EM]anger symbol[EM]unamused face[EM]man frowning[EM],0.9955840110778809,baseline
229,common nuisance,[EM]fly[EM]busts in silhouette[EM]cockroach[EM]spider[EM]busts in silhouette[EM],0.9887018799781799,baseline
230,common nuisance,[EM]squinting face with tongue[EM]squinting face with tongue[EM]counterclockwise arrows button[EM],0.38936594128608704,validate
231,common parlance,[EM]speaking head[EM]woman office worker[EM]briefcase[EM],0.7636918425559998,baseline
232,common parlance,[EM]check mark button[EM]speaking head[EM]OK button[EM],0.9820526838302612,baseline
233,common parlance,[EM]speaking head[EM]busts in silhouette[EM],0.986594021320343,baseline
234,common parlance,[EM]speaking head[EM]play button[EM],0.9350900053977966,baseline
235,common parlance,[EM]handshake[EM]palms up together[EM],0.9788042902946472,baseline
236,common parlance,[EM]boy[EM]clapping hands[EM]person curly hair[EM],0.9893820285797119,baseline
237,common parlance,[EM]left-right arrow[EM]speaking head[EM]speaking head[EM],0.9937096238136292,baseline
238,common parlance,[EM]notebook with decorative cover[EM]notebook[EM]speech balloon[EM]thought balloon[EM],0.9951196312904358,baseline
239,common parlance,[EM]sad but relieved face[EM]face with thermometer[EM],0.29707252979278564,baseline
240,common procedure,[EM]clipboard[EM]grimacing face[EM]keycap 1[EM]keycap 2[EM]keycap 3[EM],0.8008986115455627,baseline
241,common procedure,[EM]clockwise vertical arrows[EM]busts in silhouette[EM],0.97871333360672,baseline
242,common procedure,[EM]ladder[EM]play button[EM],0.9198859333992004,baseline
243,common procedure,[EM]writing hand[EM]palms up together[EM],0.8878025412559509,baseline
244,common procedure,[EM]wrench[EM]screwdriver[EM]handshake[EM],0.2539695203304291,baseline
245,common procedure,[EM]syringe[EM]busts in silhouette[EM]stethoscope[EM]adhesive bandage[EM]drop of blood[EM]health worker[EM]busts in silhouette[EM],0.9809572100639343,baseline
246,common procedure,[EM]health worker[EM]counterclockwise arrows button[EM]syringe[EM],0.7923417687416077,baseline
247,common procedure,[EM]chains[EM]face with thermometer[EM],0.170902281999588,baseline
248,common sailor,[EM]man light skin tone[EM]sailboat[EM]anchor[EM],0.9959377646446228,baseline
249,common sailor,[EM]anchor[EM]ship[EM]men holding hands[EM],0.4448034167289734,baseline
250,common sailor,[EM]man blond hair[EM]busts in silhouette[EM]sailboat[EM],0.7834050059318542,baseline
251,common sailor,[EM]sailboat[EM]play button[EM],0.9768296480178833,baseline
252,common sailor,[EM]sailboat[EM]palms up together[EM]man[EM],0.8824405670166016,baseline
253,common sailor,[EM]boy[EM]speedboat[EM],0.048640139400959015,baseline
254,common sailor,[EM]anchor[EM]man pilot[EM],0.9915085434913635,baseline
255,common sailor,[EM]speedboat[EM]pilot[EM],0.5390878319740295,baseline
256,common sailor,[EM]sailboat[EM]face with thermometer[EM],0.20118288695812225,baseline
257,constant lover,[EM]red heart[EM]woman frowning[EM]man frowning[EM]infinity[EM],0.9971280694007874,baseline
258,constant lover,[EM]couple with heart[EM]repeat single button[EM]couple with heart woman man[EM]couple with heart woman woman[EM],0.9979341626167297,baseline
259,constant lover,[EM]man with veil[EM]ring[EM]woman with veil[EM]man in tuxedo[EM]couple with heart[EM],0.10625506937503815,baseline
260,constant lover,[EM]older person[EM]red heart[EM]old woman[EM],0.1712297648191452,baseline
261,constant lover,[EM]zzz[EM]mantelpiece clock[EM]people hugging[EM],0.9956853985786438,baseline
262,constant lover,[EM]couple with heart woman man[EM]heart with arrow[EM]clockwise vertical arrows[EM],0.9962464570999146,baseline
263,constant lover,[EM]kiss man man[EM]men holding hands[EM]hourglass not done[EM]hourglass done[EM]revolving hearts[EM]man white hair[EM]man white hair[EM],0.7551468014717102,baseline
264,constant lover,[EM]beaming face with smiling eyes[EM]couple with heart[EM],0.5137176513671875,baseline
265,constant lover,[EM]red heart[EM]O button (blood type)[EM],0.1612650752067566,baseline
266,constant pain,[EM]broken heart[EM]infinity[EM],0.9768471121788025,baseline
267,constant pain,[EM]confounded face[EM]repeat single button[EM],0.3848143517971039,baseline
268,constant pain,[EM]health worker[EM]face with head-bandage[EM],0.861805260181427,baseline
269,constant pain,[EM]persevering face[EM]hourglass not done[EM]face with head-bandage[EM],0.9935956597328186,baseline
270,constant pain,[EM]face with head-bandage[EM]clockwise vertical arrows[EM],0.4483616054058075,baseline
271,constant pain,[EM]hammer[EM]bone[EM]person in manual wheelchair[EM]hourglass not done[EM]loudly crying face[EM],0.7260109186172485,baseline
272,constant pain,[EM]syringe[EM]sad but relieved face[EM]face with head-bandage[EM],0.9514575004577637,baseline
273,constant pain,[EM]face with head-bandage[EM]O button (blood type)[EM],0.6092751622200012,baseline
274,cool breeze,[EM]wind face[EM]ice[EM],0.9524962306022644,baseline
275,cool breeze,[EM]leaf fluttering in wind[EM]COOL button[EM],0.8948575258255005,baseline
276,cool breeze,[EM]dashing away[EM]cold face[EM],0.9805675745010376,baseline
277,cool breeze,[EM]wind face[EM]snowflake[EM]dashing away[EM],0.8148967027664185,baseline
278,cool breeze,[EM]dashing away[EM]snowflake[EM],0.7142566442489624,baseline
279,cool breeze,[EM]wind face[EM]ice[EM]dashing away[EM],0.9915489554405212,baseline
280,cool drink,[EM]tumbler glass[EM]ice[EM],0.9854110479354858,baseline
281,cool drink,[EM]cup with straw[EM]COOL button[EM],0.9975430369377136,baseline
282,cool drink,[EM]bottle with popping cork[EM]ice[EM],0.9938065409660339,baseline
283,cool drink,[EM]tropical drink[EM]ice[EM]beer mug[EM],0.9964789152145386,baseline
284,cool drink,[EM]tropical drink[EM]COOL button[EM],0.6139458417892456,baseline
285,cool drink,[EM]cocktail glass[EM]ice[EM],0.45935022830963135,baseline
286,cool drink,[EM]beverage box[EM]cup with straw[EM],0.9962824583053589,baseline
287,cool drink,[EM]cup with straw[EM]dashing away[EM],0.9921364784240723,baseline
288,cool reception,[EM]handshake[EM]ice[EM],0.9384655952453613,baseline
289,cool reception,[EM]hotel[EM]COOL button[EM]bellhop bell[EM]telephone[EM],0.970470130443573,baseline
290,cool reception,[EM]confetti ball[EM]smiling face with sunglasses[EM],0.9723896980285645,baseline
291,cool reception,[EM]smiling face[EM]slightly smiling face[EM]waving hand[EM],0.970363438129425,baseline
292,cool reception,[EM]person tipping hand[EM]COOL button[EM],0.41422197222709656,baseline
293,cool reception,[EM]waving hand[EM]neutral face[EM],0.6355773210525513,baseline
294,cool reception,[EM]studio microphone[EM]woman standing[EM]telephone[EM],0.9788806438446045,baseline
