,Unnamed: 0,name,emoji,category,zwj_split_text,baseline_emojis,baseline_emojis_text,baseline_text,conceptnet,randneg_emojis,randneg_text
15,15,:astronaut:,🧑‍🚀,Role,"[':person:', ':rocket:']","['🚀', '🛶']","[':rocket:', ':canoe:']","[':rocket:', ':canoe:']","['space', 'travel'] -> [':rocket:', ':canoe:']","['\U0001f6d5', '\U0001f9d1🏼\u200d🤝\u200d\U0001f9d1🏼']","[':hindu_temple:', ':people_holding_hands_medium-light_skin_tone:']"
16,16,:firefighter:,🧑‍🚒,Role,"[':person:', ':fire_engine:']","['🚬', '🤵🏿', '♂️']","[':cigarette:', ':person_in_tuxedo_dark_skin_tone:', ':male_sign:']","[':cigarette:', ':man_in_tuxedo_dark_skin_tone:']","['smoke', 'jacket'] -> [':cigarette:', ':man_in_tuxedo_dark_skin_tone:']","['👨🏽\u200d💼', '👦🏻']","[':man_office_worker_medium_skin_tone:', ':boy_light_skin_tone:']"
17,17,:person_with_white_cane:,🧑‍🦯,Role,"[':person:', ':white_cane:']","['🙎', '🏳']","[':person_pouting:', ':white_flag:']","[':person_pouting:', ':white_flag:']","['person', 'white'] -> [':person_pouting:', ':white_flag:']","['👩🏿\u200d❤️\u200d💋\u200d👩🏽', '👌🏻']","[':kiss_woman_woman_dark_skin_tone_medium_skin_tone:', ':OK_hand_light_skin_tone:']"
18,18,:person_in_motorized_wheelchair:,🧑‍🦼,Role,"[':person:', ':motorized_wheelchair:']","['🙎', '🚤']","[':person_pouting:', ':speedboat:']","[':person_pouting:', ':speedboat:']","['person', 'motorized'] -> [':person_pouting:', ':speedboat:']","['👩🏻\u200d🔧', '📙']","[':woman_mechanic_light_skin_tone:', ':orange_book:']"
19,19,:person_in_manual_wheelchair:,🧑‍🦽,Role,"[':person:', ':manual_wheelchair:']","['🙎', '👩🏾', '🔧']","[':person_pouting:', ':woman_medium-dark_skin_tone:', ':wrench:']","[':person_pouting:', ':woman_mechanic_medium-dark_skin_tone:']","['person', 'manual'] -> [':person_pouting:', ':woman_mechanic_medium-dark_skin_tone:']","['🚵🏾\u200d♂️', '👩🏿\u200d🍼']","[':man_mountain_biking_medium-dark_skin_tone:', ':woman_feeding_baby_dark_skin_tone:']"
20,20,:heart_on_fire:,❤️‍🔥,Other,"[':red_heart:', ':fire:']","['💟', '🔥']","[':heart_decoration:', ':fire:']","[':heart_decoration:', ':fire:']","['heart', 'fire'] -> [':heart_decoration:', ':fire:']","['\U0001fab4', '😙']","[':potted_plant:', ':kissing_face_with_smiling_eyes:']"
21,21,:mending_heart:,❤️‍🩹,Other,"[':red_heart:', ':adhesive_bandage:']","['👷', '♀️', '💟']","[':construction_worker:', ':female_sign:', ':heart_decoration:']","[':woman_construction_worker:', ':heart_decoration:']","['repair', 'heart'] -> [':woman_construction_worker:', ':heart_decoration:']","['◀', '🇳🇮']","[':reverse_button:', ':Nicaragua:']"
22,22,:transgender_flag:,🏳️‍⚧️,Other,"[':white_flag:', ':transgender_symbol:']","['🏳️', '🌈', '🚩']","[':white_flag:', ':rainbow:', ':triangular_flag:']","[':rainbow_flag:', ':triangular_flag:']","['transgender', 'flag'] -> [':rainbow_flag:', ':triangular_flag:']","['⛸', '⛳']","[':ice_skate:', ':flag_in_hole:']"
23,23,:rainbow_flag:,🏳️‍🌈,Other,"[':white_flag:', ':rainbow:']","['🌈', '🚩']","[':rainbow:', ':triangular_flag:']","[':rainbow:', ':triangular_flag:']","['rainbow', 'flag'] -> [':rainbow:', ':triangular_flag:']","['🇺🇾', '\U0001f9d1🏿\u200d🍼']","[':Uruguay:', ':person_feeding_baby_dark_skin_tone:']"
24,24,:pirate_flag:,🏴‍☠️,Other,"[':black_flag:', ':skull_and_crossbones:']","['🇺🇲', '🚩']","[':U.S._Outlying_Islands:', ':triangular_flag:']","[':U.S._Outlying_Islands:', ':triangular_flag:']","['captain', 'flag'] -> [':U.S._Outlying_Islands:', ':triangular_flag:']","['🏊', '🙍\u200d♂️']","[':person_swimming:', ':man_frowning:']"
25,25,:black_cat:,🐈‍⬛,Other,"[':cat:', ':black_large_square:']","['🖤', '🐈']","[':black_heart:', ':cat:']","[':black_heart:', ':cat:']","['black', 'cat'] -> [':black_heart:', ':cat:']","['\U0001f9d1🏼\u200d🤝\u200d\U0001f9d1🏻', '👨\u200d🔧']","[':people_holding_hands_medium-light_skin_tone_light_skin_tone:', ':man_mechanic:']"
26,26,:service_dog:,🐕‍🦺,Other,"[':dog:', ':safety_vest:']","['🈂', '🐕']","[':Japanese_service_charge_button:', ':dog:']","[':Japanese_service_charge_button:', ':dog:']","['service', 'dog'] -> [':Japanese_service_charge_button:', ':dog:']","['🇩🇬', '🇬🇸']","[':Diego_Garcia:', ':South_Georgia_&_South_Sandwich_Islands:']"
27,27,:polar_bear:,🐻‍❄️,Other,"[':bear:', ':snowflake:']","['❎', ':bear_face:']","[':cross_mark_button:', ':bear_face:']","[':cross_mark_button:', ':bear_face:']","['polar', 'bear'] -> [':cross_mark_button:', ':bear_face:']","['🤙🏼', '🙍🏽\u200d♀️']","[':call_me_hand_medium-light_skin_tone:', ':woman_frowning_medium_skin_tone:']"
28,28,:eye_in_speech_bubble:,👁️‍🗨️,Other,"[':eye:', ':left_speech_bubble:']","['👁', '🗨']","[':eye:', ':left_speech_bubble:']","[':eye:', ':left_speech_bubble:']","['eye', 'speech'] -> [':eye:', ':left_speech_bubble:']","['🏋🏿', '🤽']","[':person_lifting_weights_dark_skin_tone:', ':person_playing_water_polo:']"
29,29,:face_exhaling:,😮‍💨,Other,"[':face_with_open_mouth:', ':dashing_away:']","['😞', '🚬']","[':disappointed_face:', ':cigarette:']","[':disappointed_face:', ':cigarette:']","['face', 'exhale'] -> [':disappointed_face:', ':cigarette:']","['🤽🏻\u200d♀️', '\U0001f9d1\u200d🏭']","[':woman_playing_water_polo_light_skin_tone:', ':factory_worker:']"
30,30,:face_with_spiral_eyes:,😵‍💫,Other,"[':knocked-out_face:', ':dizzy:']","['😞', '🐚']","[':disappointed_face:', ':spiral_shell:']","[':disappointed_face:', ':spiral_shell:']","['face', 'spiral'] -> [':disappointed_face:', ':spiral_shell:']","['🤾🏻\u200d♀️', '👩🏽\u200d🤝\u200d👨🏿']","[':woman_playing_handball_light_skin_tone:', ':woman_and_man_holding_hands_medium_skin_tone_dark_skin_tone:']"
31,31,:face_in_clouds:,😶‍🌫️,Other,"[':face_without_mouth:', ':fog:']","['😞', '🌨']","[':disappointed_face:', ':cloud_with_snow:']","[':disappointed_face:', ':cloud_with_snow:']","['face', 'clouds'] -> [':disappointed_face:', ':cloud_with_snow:']","['👩🏼\u200d❤️\u200d💋\u200d👩🏽', '🙆🏾']","[':kiss_woman_woman_medium-light_skin_tone_medium_skin_tone:', ':person_gesturing_OK_medium-dark_skin_tone:']"
32,32,:mx_claus:,🧑‍🎄,Other,"[':person:', ':Christmas_tree:']","['🇲🇽', '🎅']","[':Mexico:', ':Santa_Claus:']","[':Mexico:', ':Santa_Claus:']","['mx', 'claus'] -> [':Mexico:', ':Santa_Claus:']","['⚾', '⛹🏼']","[':baseball:', ':person_bouncing_ball_medium-light_skin_tone:']"
