,unicode,name,emoji,category,zwj_split_emojis,zwj_split_text,baseline_emojis,baseline_emojis_text,baseline_text,conceptnet,randneg_emojis,randneg_text,sbert_scores,sbert_rank
10,1F9D1 200D 1F3ED,:factory_worker:,🧑‍🏭,Role,"['\U0001f9d1', '🏭']","[':person:', ':factory:']","['🏭', '👷']","[':factory:', ':construction_worker:']","[':factory:', ':construction_worker:']","['factory', 'worker'] -> [':factory:', ':construction_worker:']","['👐🏻', '👨🏿\u200d🍼']","[':open_hands_light_skin_tone:', ':man_feeding_baby_dark_skin_tone:']","[0.5817, 0.9473, 0.1493]",0
11,1F9D1 200D 1F4BB,:technologist:,🧑‍💻,Role,"['\U0001f9d1', '💻']","[':person:', ':laptop:']",[],[],,,"['\U0001f9d9🏼\u200d♂️', '🇸🇭']","[':man_mage_medium-light_skin_tone:', ':St._Helena:']","[0.3044, 0.1807, 0.1252]",1
12,1F9D1 200D 1F4BC,:office_worker:,🧑‍💼,Role,"['\U0001f9d1', '💼']","[':person:', ':briefcase:']","['🏢', '👷']","[':office_building:', ':construction_worker:']","[':office_building:', ':construction_worker:']","['office', 'worker'] -> [':office_building:', ':construction_worker:']","['🇬🇫', '🇧🇼']","[':French_Guiana:', ':Botswana:']","[0.2835, 0.8231, 0.1445]",0
13,1F9D1 200D 1F527,:mechanic:,🧑‍🔧,Role,"['\U0001f9d1', '🔧']","[':person:', ':wrench:']","['🈂', '🏎']","[':Japanese_service_charge_button:', ':racing_car:']","[':Japanese_service_charge_button:', ':racing_car:']","['service', 'car'] -> [':Japanese_service_charge_button:', ':racing_car:']","['🛀🏾', '\U0001f9dc🏻']","[':person_taking_bath_medium-dark_skin_tone:', ':merperson_light_skin_tone:']","[0.4282, 0.2694, 0.0584]",1
14,1F9D1 200D 1F52C,:scientist:,🧑‍🔬,Role,"['\U0001f9d1', '🔬']","[':person:', ':microscope:']","['❓', '👳🏻']","[':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","[':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","['question', 'theories'] -> [':red_question_mark:', ':person_wearing_turban_light_skin_tone:']","['🏃\u200d♂️', '🏋🏿\u200d♀️']","[':man_running:', ':woman_lifting_weights_dark_skin_tone:']","[0.4371, 0.1459, 0.09]",1
15,1F9D1 200D 1F680,:astronaut:,🧑‍🚀,Role,"['\U0001f9d1', '🚀']","[':person:', ':rocket:']","['🚀', '🛶']","[':rocket:', ':canoe:']","[':rocket:', ':canoe:']","['space', 'travel'] -> [':rocket:', ':canoe:']","['\U0001f6d5', '\U0001f9d1🏼\u200d🤝\u200d\U0001f9d1🏼']","[':hindu_temple:', ':people_holding_hands_medium-light_skin_tone:']","[0.5103, 0.3483, -0.0319]",1
16,1F9D1 200D 1F692,:firefighter:,🧑‍🚒,Role,"['\U0001f9d1', '🚒']","[':person:', ':fire_engine:']","['🚬', '🤵🏿', '♂️']","[':cigarette:', ':person_in_tuxedo_dark_skin_tone:', ':male_sign:']","[':cigarette:', ':man_in_tuxedo_dark_skin_tone:']","['smoke', 'jacket'] -> [':cigarette:', ':man_in_tuxedo_dark_skin_tone:']","['👨🏽\u200d💼', '👦🏻']","[':man_office_worker_medium_skin_tone:', ':boy_light_skin_tone:']","[0.61, 0.1833, 0.2769]",-2
17,1F9D1 200D 1F9AF,:person_with_white_cane:,🧑‍🦯,Role,"['\U0001f9d1', '\U0001f9af']","[':person:', ':white_cane:']","['🙎', '🏳']","[':person_pouting:', ':white_flag:']","[':person_pouting:', ':white_flag:']","['person', 'white'] -> [':person_pouting:', ':white_flag:']","['👩🏿\u200d❤️\u200d💋\u200d👩🏽', '👌🏻']","[':kiss_woman_woman_dark_skin_tone_medium_skin_tone:', ':OK_hand_light_skin_tone:']","[0.9658, 0.3657, 0.1587]",1
18,1F9D1 200D 1F9BC,:person_in_motorized_wheelchair:,🧑‍🦼,Role,"['\U0001f9d1', '\U0001f9bc']","[':person:', ':motorized_wheelchair:']","['🙎', '🚤']","[':person_pouting:', ':speedboat:']","[':person_pouting:', ':speedboat:']","['person', 'motorized'] -> [':person_pouting:', ':speedboat:']","['👩🏻\u200d🔧', '📙']","[':woman_mechanic_light_skin_tone:', ':orange_book:']","[0.9566, 0.221, 0.1883]",1
19,1F9D1 200D 1F9BD,:person_in_manual_wheelchair:,🧑‍🦽,Role,"['\U0001f9d1', '\U0001f9bd']","[':person:', ':manual_wheelchair:']","['🙎', '👩🏾', '🔧']","[':person_pouting:', ':woman_medium-dark_skin_tone:', ':wrench:']","[':person_pouting:', ':woman_mechanic_medium-dark_skin_tone:']","['person', 'manual'] -> [':person_pouting:', ':woman_mechanic_medium-dark_skin_tone:']","['🚵🏾\u200d♂️', '👩🏿\u200d🍼']","[':man_mountain_biking_medium-dark_skin_tone:', ':woman_feeding_baby_dark_skin_tone:']","[0.9413, 0.2899, 0.2036]",1
20,2764 FE0F 200D 1F525,:heart_on_fire:,❤️‍🔥,Other,"['❤️', '🔥']","[':red_heart:', ':fire:']","['💟', '🔥']","[':heart_decoration:', ':fire:']","[':heart_decoration:', ':fire:']","['heart', 'fire'] -> [':heart_decoration:', ':fire:']","['\U0001fab4', '😙']","[':potted_plant:', ':kissing_face_with_smiling_eyes:']","[0.724, 0.6618, 0.1754]",1
21,2764 FE0F 200D 1FA79,:mending_heart:,❤️‍🩹,Other,"['❤️', '\U0001fa79']","[':red_heart:', ':adhesive_bandage:']","['👷', '♀️', '💟']","[':construction_worker:', ':female_sign:', ':heart_decoration:']","[':woman_construction_worker:', ':heart_decoration:']","['repair', 'heart'] -> [':woman_construction_worker:', ':heart_decoration:']","['◀', '🇳🇮']","[':reverse_button:', ':Nicaragua:']","[0.3794, 0.3452, 0.1359]",1
22,1F3F3 FE0F 200D 26A7 FE0F,:transgender_flag:,🏳️‍⚧️,Other,"['🏳️', '⚧️']","[':white_flag:', ':transgender_symbol:']","['🏳️', '🌈', '🚩']","[':white_flag:', ':rainbow:', ':triangular_flag:']","[':rainbow_flag:', ':triangular_flag:']","['transgender', 'flag'] -> [':rainbow_flag:', ':triangular_flag:']","['⛸', '⛳']","[':ice_skate:', ':flag_in_hole:']","[0.8405, 0.5947, 0.4097]",1
23,1F3F3 FE0F 200D 1F308,:rainbow_flag:,🏳️‍🌈,Other,"['🏳️', '🌈']","[':white_flag:', ':rainbow:']","['🌈', '🚩']","[':rainbow:', ':triangular_flag:']","[':rainbow:', ':triangular_flag:']","['rainbow', 'flag'] -> [':rainbow:', ':triangular_flag:']","['🇺🇾', '\U0001f9d1🏿\u200d🍼']","[':Uruguay:', ':person_feeding_baby_dark_skin_tone:']","[0.8595, 0.8213, 0.1348]",1
24,1F3F4 200D 2620 FE0F,:pirate_flag:,🏴‍☠️,Other,"['🏴', '☠️']","[':black_flag:', ':skull_and_crossbones:']","['🇺🇲', '🚩']","[':U.S._Outlying_Islands:', ':triangular_flag:']","[':U.S._Outlying_Islands:', ':triangular_flag:']","['captain', 'flag'] -> [':U.S._Outlying_Islands:', ':triangular_flag:']","['🏊', '🙍\u200d♂️']","[':person_swimming:', ':man_frowning:']","[0.4995, 0.514, 0.1104]",0
25,1F408 200D 2B1B,:black_cat:,🐈‍⬛,Other,"['🐈', '⬛']","[':cat:', ':black_large_square:']","['🖤', '🐈']","[':black_heart:', ':cat:']","[':black_heart:', ':cat:']","['black', 'cat'] -> [':black_heart:', ':cat:']","['\U0001f9d1🏼\u200d🤝\u200d\U0001f9d1🏻', '👨\u200d🔧']","[':people_holding_hands_medium-light_skin_tone_light_skin_tone:', ':man_mechanic:']","[0.7061, 0.8416, 0.1025]",0
26,1F415 200D 1F9BA,:service_dog:,🐕‍🦺,Other,"['🐕', '\U0001f9ba']","[':dog:', ':safety_vest:']","['🈂', '🐕']","[':Japanese_service_charge_button:', ':dog:']","[':Japanese_service_charge_button:', ':dog:']","['service', 'dog'] -> [':Japanese_service_charge_button:', ':dog:']","['🇩🇬', '🇬🇸']","[':Diego_Garcia:', ':South_Georgia_&_South_Sandwich_Islands:']","[0.4773, 0.6028, 0.1336]",0
27,1F43B 200D 2744 FE0F,:polar_bear:,🐻‍❄️,Other,"['🐻', '❄️']","[':bear:', ':snowflake:']","['❎', ':bear_face:']","[':cross_mark_button:', ':bear_face:']","[':cross_mark_button:', ':bear_face:']","['polar', 'bear'] -> [':cross_mark_button:', ':bear_face:']","['🤙🏼', '🙍🏽\u200d♀️']","[':call_me_hand_medium-light_skin_tone:', ':woman_frowning_medium_skin_tone:']","[0.7081, 0.3023, 0.1878]",1
28,1F441 FE0F 200D 1F5E8 FE0F,:eye_in_speech_bubble:,👁️‍🗨️,Other,"['👁️', '🗨️']","[':eye:', ':left_speech_bubble:']","['👁', '🗨']","[':eye:', ':left_speech_bubble:']","[':eye:', ':left_speech_bubble:']","['eye', 'speech'] -> [':eye:', ':left_speech_bubble:']","['🏋🏿', '🤽']","[':person_lifting_weights_dark_skin_tone:', ':person_playing_water_polo:']","[0.9125, 0.9125, 0.0264]",1
29,1F62E 200D 1F4A8,:face_exhaling:,😮‍💨,Other,"['😮', '💨']","[':face_with_open_mouth:', ':dashing_away:']","['😞', '🚬']","[':disappointed_face:', ':cigarette:']","[':disappointed_face:', ':cigarette:']","['face', 'exhale'] -> [':disappointed_face:', ':cigarette:']","['🤽🏻\u200d♀️', '\U0001f9d1\u200d🏭']","[':woman_playing_water_polo_light_skin_tone:', ':factory_worker:']","[0.3716, 0.4713, 0.1154]",0
30,1F635 200D 1F4AB,:face_with_spiral_eyes:,😵‍💫,Other,"['😵', '💫']","[':knocked-out_face:', ':dizzy:']","['😞', '🐚']","[':disappointed_face:', ':spiral_shell:']","[':disappointed_face:', ':spiral_shell:']","['face', 'spiral'] -> [':disappointed_face:', ':spiral_shell:']","['🤾🏻\u200d♀️', '👩🏽\u200d🤝\u200d👨🏿']","[':woman_playing_handball_light_skin_tone:', ':woman_and_man_holding_hands_medium_skin_tone_dark_skin_tone:']","[0.3176, 0.623, 0.1756]",0
31,1F636 200D 1F32B FE0F,:face_in_clouds:,😶‍🌫️,Other,"['😶', '🌫️']","[':face_without_mouth:', ':fog:']","['😞', '🌨']","[':disappointed_face:', ':cloud_with_snow:']","[':disappointed_face:', ':cloud_with_snow:']","['face', 'clouds'] -> [':disappointed_face:', ':cloud_with_snow:']","['👩🏼\u200d❤️\u200d💋\u200d👩🏽', '🙆🏾']","[':kiss_woman_woman_medium-light_skin_tone_medium_skin_tone:', ':person_gesturing_OK_medium-dark_skin_tone:']","[0.5668, 0.679, 0.1935]",0
32,1F9D1 200D 1F384,:mx_claus:,🧑‍🎄,Other,"['\U0001f9d1', '🎄']","[':person:', ':Christmas_tree:']","['🇲🇽', '🎅']","[':Mexico:', ':Santa_Claus:']","[':Mexico:', ':Santa_Claus:']","['mx', 'claus'] -> [':Mexico:', ':Santa_Claus:']","['⚾', '⛹🏼']","[':baseball:', ':person_bouncing_ball_medium-light_skin_tone:']","[0.2825, 0.6002, 0.107]",0
